frase,esperado,objetivo,predicao,probabilidade_alto_risco,acerto
Estou com pressão no peito e suor gelado desde agora.,alto risco,sinônimo,alto risco,0.9201338292356442,True
Meu peito não dói mas não consigo respirar mesmo parado.,alto risco,negação com contraste,alto risco,0.8175545744757458,True
Não tenho falta de ar nem dor no peito; só espirrei duas vezes.,baixo risco,negação,baixo risco,0.08231261600428086,True
Não estou com suor frio mas sinto dor no peito intensa.,alto risco,negação com contraste,alto risco,0.8671794086316044,True
Só sinto leve cansaço depois da caminhada e já passou.,baixo risco,recuperação,baixo risco,0.11916306264467591,True
A dor no peito é leve mas começou agora junto de suor frio.,alto risco,leve não exclui alerta,alto risco,0.9161827915335262,True
Tenho tontura intensa e meu coração está disparado.,alto risco,sinônimo,alto risco,0.6086096202245097,True
Minha garganta arranha um pouco e respiro normalmente.,baixo risco,queixa leve,baixo risco,0.07699218673928765,True
Meu tornozelo inchou e estou sem ar até quando descanso.,alto risco,combinação,alto risco,0.6636185525775602,True
Estou com coriza leve e não sinto dor no peito.,baixo risco,negação ao final,baixo risco,0.19589617078703592,True
Sinto dor no peito e suor frio mas a dor diminuiu um pouco.,alto risco,alívio parcial,alto risco,0.7222975525478452,True
Meu braço coça um pouco depois de uma picada de mosquito.,baixo risco,queixa leve,baixo risco,0.13026368783481168,True
