grupo,conjunto
A01,treino
A02,treino
A03,treino
A04,treino
A05,treino
A06,treino
A07,regressao
A08,regressao
A09,treino
A10,treino
A11,regressao
A12,treino
A13,treino
A14,treino
A15,regressao
A16,treino
A17,treino
A18,treino
A19,treino
A20,treino
A21,treino
A22,treino
A23,treino
A24,treino
A25,treino
A26,treino
A27,treino
A28,treino
A29,treino
A30,treino
A31,treino
A32,treino
A33,treino
A34,treino
A35,treino
A36,treino
A37,treino
A38,treino
A39,treino
A40,treino
A41,treino
A42,treino
A43,treino
A44,treino
A45,treino
A46,treino
A47,treino
A48,treino
A49,treino
A50,treino
A51,regressao
A52,regressao
A53,regressao
A54,regressao
A55,regressao
A56,regressao
A57,regressao
A58,regressao
A59,regressao
A60,regressao
B01,regressao
B02,regressao
B03,treino
B04,treino
B05,treino
B06,treino
B07,treino
B08,treino
B09,treino
B10,treino
B11,treino
B12,regressao
B13,treino
B14,treino
B15,treino
B16,treino
B17,treino
B18,regressao
B19,treino
B20,treino
B21,treino
B22,treino
B23,treino
B24,treino
B25,treino
B26,treino
B27,treino
B28,treino
B29,treino
B30,treino
B31,treino
B32,treino
B33,treino
B34,treino
B35,treino
B36,treino
B37,treino
B38,treino
B39,treino
B40,treino
B41,treino
B42,treino
B43,treino
B44,treino
B45,treino
B46,treino
B47,treino
B48,treino
B49,treino
B50,treino
B51,regressao
B52,regressao
B53,regressao
B54,regressao
B55,regressao
B56,regressao
B57,regressao
B58,regressao
B59,regressao
B60,regressao
A61,treino
A62,treino
A63,treino
A64,treino
A65,treino
A66,treino
A67,teste
A68,teste
A69,teste
A70,teste
A71,teste
A72,teste
B61,treino
B62,treino
B63,treino
B64,treino
B65,treino
B66,treino
B67,teste
B68,teste
B69,teste
B70,teste
B71,teste
B72,teste
