frase,situacao,grupo,probabilidade_alto_risco,predicao,acerto
"Sem febre, a respiração ficou curta de repente e estou suando frio sem parar.",alto risco,A67,0.83694432035846,alto risco,True
Não estou gripado; comecei a ficar sem ar subitamente e a roupa encharcou de suor frio.,alto risco,A67,0.8668853474195071,alto risco,True
"Fui dormir bem, acordei com pressão forte no peito e não consigo voltar a respirar deitado.",alto risco,A68,0.9096877923413937,alto risco,True
Durante a madrugada surgiu aperto intenso no tórax e preciso sentar para puxar o ar.,alto risco,A68,0.8751132020264457,alto risco,True
"A dor no tórax se espalhou para o braço e fiquei muito pálido, mesmo sem enjoo.",alto risco,A69,0.9207531460270506,alto risco,True
"Não sinto náusea, mas a pressão persistente no peito chegou ao braço e tirou minha cor.",alto risco,A69,0.726562768799772,alto risco,True
De repente perdi a força de um braço e minhas palavras saem embaralhadas.,alto risco,A70,0.6881644579429473,alto risco,True
Meu braço enfraqueceu do nada e não consigo formar frases como antes.,alto risco,A70,0.69990832061728,alto risco,True
O coração dispara com tontura forte e a sensação de que vou cair aumentou.,alto risco,A71,0.8361817738362752,alto risco,True
"As batidas ficaram muito rápidas, comecei a rodar e precisei me apoiar para não apagar.",alto risco,A71,0.761234053139354,alto risco,True
Comecei a ficar sem ar de uma vez e agora cada respiração traz uma dor intensa no peito.,alto risco,A72,0.8838128189777377,alto risco,True
Uma falta de ar súbita veio acompanhada de dor no tórax ao inspirar.,alto risco,A72,0.8221584776401576,alto risco,True
Não estou com dor no peito nem suor frio; apenas um calo antigo incomoda no sapato.,baixo risco,B67,0.14754845206657397,baixo risco,True
Meu tórax não dói e não transpiro gelado; só o calçado apertou um pouco o calcanhar.,baixo risco,B67,0.285936742385005,baixo risco,True
"Minha irmã disse estar sem ar, mas eu só tenho uma pequena irritação na pele do cotovelo.",baixo risco,B68,0.13018346792075008,baixo risco,True
A falta de ar é da minha irmã; comigo há apenas uma mancha seca que coça pouco.,baixo risco,B68,0.2603128459839035,baixo risco,True
"Suei bastante na academia, parei, bebi água e agora estou sem dor ou tontura.",baixo risco,B69,0.409455216205008,alto risco,False
O suor veio do treino e já passou; meu coração está calmo e me sinto normal.,baixo risco,B69,0.3524551986345079,alto risco,False
"Não sinto pressão no peito, só um incômodo leve no pulso depois de digitar.",baixo risco,B70,0.10086603932239158,baixo risco,True
Meu tórax está bem; o teclado deixou apenas o punho um pouco cansado.,baixo risco,B70,0.1213025402209057,baixo risco,True
Não tenho falta de ar nem palpitações; uma picada pequena deixou meu braço coçando.,baixo risco,B71,0.22185645911224805,baixo risco,True
"Respiro bem e o coração não acelerou, só estou com coceira onde um inseto picou.",baixo risco,B71,0.1539325833709574,baixo risco,True
"Não estou tonto ou quase desmaiando, apenas com rouquidão após cantar.",baixo risco,B72,0.29145999216305374,baixo risco,True
"A voz ficou cansada depois da música, mas não tive tontura nem sensação de apagar.",baixo risco,B72,0.29689569018188255,baixo risco,True
