image_id,relative_path,source_record,patient_group,start_second,duration_seconds,leads,split,source_url,source_doi,license,sha256,width,height,derivation
MITBIH-100-S01,train/MITBIH-100-S01.png,100,MITBIH-100,60,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,71a4920bf1379bdbc9b941fa1829b4c632e6af060439d1087472c54b112394fe,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S02,train/MITBIH-100-S02.png,100,MITBIH-100,120,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,0628a583366b5d1056d9460fea36de68c22f5847247890b97617f7b667ab486f,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S03,train/MITBIH-100-S03.png,100,MITBIH-100,180,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,b3edf9b9804bc41c12b455f8c7b3467b48e65e26e436071d43a60eec609362e3,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S04,train/MITBIH-100-S04.png,100,MITBIH-100,240,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,ee12bc7112410595785e6eed64c359f72dc7150c5530f121df92932237622cb8,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S05,train/MITBIH-100-S05.png,100,MITBIH-100,300,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,77318554e8ffc3c555b7c95d04b2c1d1f5aab8367cec2e2b6589bb0ca419519d,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S06,train/MITBIH-100-S06.png,100,MITBIH-100,360,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,d4ee2eaacfdc2c6d8da072f6b7935913b40139e88cddebd5c778566aade7ea7d,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S07,train/MITBIH-100-S07.png,100,MITBIH-100,420,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,a9ff52bf6fa2cef5afd39c8e6b10fc00693d51584a2729939730942794c12a30,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S08,train/MITBIH-100-S08.png,100,MITBIH-100,480,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,1bf84069a28596efc6e1ec218e0cda28d1a7a96100930e32cff78a18a5ce1fd3,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S09,train/MITBIH-100-S09.png,100,MITBIH-100,540,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,ca4cd4327aa86d2eb090b6a115089151cde921f00dca96009b1ad9ae52cf07bc,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-100-S10,train/MITBIH-100-S10.png,100,MITBIH-100,600,10,MLII|V5,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,cc82e34c1f37d63e4d843bb627a25287488baf54ca42ab0918629f2e5358127f,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
MITBIH-101-S01,train/MITBIH-101-S01.png,101,MITBIH-101,60,10,MLII|V1,train,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,Open Data Commons Attribution License v1.0,41e06abc82024e2e2e54974473a6b258b1ea78228a5c3de83d572582ee8b102f,1310,545,PNG gerado de dois canais WFDB; grade adicionada; sinal não alterado.
